Comment;clean_text;normalized_text;processed_text;tokens;aktor;isu;sentiment;pre_label;manual_label
banyak program penting belum terlaksana, kenapa harus MBG yang dikejar+anti kritik;banyak program penting belum terlaksana kenapa harus MBG yang dikejar anti kritik;banyak program penting belum terlaksana kenapa harus mbg yang dikejar anti kritik;banyak program penting belum terlaksana kenapa harus mbg yang dikejar anti kritik;['banyak', 'program', 'penting', 'belum', 'terlaksana', 'kenapa', 'harus', 'mbg', 'yang', 'dikejar', 'anti', 'kritik'];Tidak Terdeteksi;Kebijakan;Netral;Netral;Menolak
ADA NANTI ISTILAH,,,, MAU GANTENG PAKAI GENTENG,,,????????MAU JRENG DATANG KE MENTENG????????;ADA NANTI ISTILAH MAU GANTENG PAKAI GENTENG MAU JRENG DATANG KE MENTENG;ada nanti istilah mau ganteng pakai genteng mau jreng datang ke menteng;ada nanti istilah mau ganteng pakai genteng mau jreng datang ke menteng;['ada', 'nanti', 'istilah', 'mau', 'ganteng', 'pakai', 'genteng', 'mau', 'jreng', 'datang', 'ke', 'menteng'];Tidak Terdeteksi;Lainnya;Netral;Netral;Netral
Mending keliatan ada wujudnya, dr pd dn ds buat bancaan perangkat2 nya;Mending keliatan ada wujudnya dr pd dn ds buat bancaan perangkat2 nya;mending keliatan ada wujudnya dari pd dn ds untuk bancaan perangkat2 nya;mending keliatan ada wujudnya dari pd dn ds untuk bancaan perangkat2 nya;['mending', 'keliatan', 'ada', 'wujudnya', 'dari', 'pd', 'dn', 'ds', 'untuk', 'bancaan', 'perangkat2', 'nya'];Tidak Terdeteksi;Lainnya;Netral;Netral;Menolak
50 trilyun dari desa, buat rebutan padahal pendapatan negara 5000 t ????;50 trilyun dari desa buat rebutan padahal pendapatan negara 5000 t;50 trilyun dari desa untuk rebutan padahal pendapatan negara 5000 tidak;50 trilyun dari desa untuk rebutan padahal pendapatan negara 5000 tidak;['50', 'trilyun', 'dari', 'desa', 'untuk', 'rebutan', 'padahal', 'pendapatan', 'negara', '5000', 'tidak'];Tidak Terdeteksi;Lainnya;Netral;Netral;Menolak
Gak yakin koperasi akan berhasil berkaca BUMDES toko yg di kelola desa akhirnya tutup;Gak yakin koperasi akan berhasil berkaca BUMDES toko yg di kelola desa akhirnya tutup;tidak yakin koperasi akan berhasil berkaca badan usaha milik desa toko yang di kelola desa akhirnya tutup;tidak yakin koperasi akan berhasil berkaca badan usaha milik desa toko yang di kelola desa akhirnya tutup;['tidak', 'yakin', 'koperasi', 'akan', 'berhasil', 'berkaca', 'badan', 'usaha', 'milik', 'desa', 'toko', 'yang', 'di', 'kelola', 'desa', 'akhirnya', 'tutup'];Tidak Terdeteksi;Lainnya;Mendukung;Mendukung;Menolak
AdAkah sangsi hukumnya?;AdAkah sangsi hukumnya;adakah sangsi hukumnya;adakah sangsi hukumnya;['adakah', 'sangsi', 'hukumnya'];Tidak Terdeteksi;Lainnya;Netral;Netral;Diskusi
Dan peluit tanda program bermasalah di bunyikan. Nafsu menggerogoti anggaran lebih terasa dibanding mensejahterakan rakyat kebanyakan. Skeptis sekaligus apatis.;Dan peluit tanda program bermasalah di bunyikan Nafsu menggerogoti anggaran lebih terasa dibanding mensejahterakan rakyat kebanyakan Skeptis sekaligus apatis;dan peluit tanda program bermasalah di bunyikan nafsu menggerogoti anggaran lebih terasa dibanding mensejahterakan rakyat kebanyakan skeptis sekaligus apatis;dan peluit tanda program bermasalah di bunyikan nafsu menggerogoti anggaran lebih terasa dibanding mensejahterakan rakyat kebanyakan skeptis sekaligus apatis;['dan', 'peluit', 'tanda', 'program', 'bermasalah', 'di', 'bunyikan', 'nafsu', 'menggerogoti', 'anggaran', 'lebih', 'terasa', 'dibanding', 'mensejahterakan', 'rakyat', 'kebanyakan', 'skeptis', 'sekaligus', 'apatis'];Tidak Terdeteksi;Kebijakan;Netral;Netral;Menolak
Purbaya mulai melemah APBN ikut menanggulangi whuus, berarti hanya omon omon, takut dengan omongan nya Jkw dan bosnya, mulai kelihatan sensasinya.;Purbaya mulai melemah APBN ikut menanggulangi whuus berarti hanya omon omon takut dengan omongan nya Jkw dan bosnya mulai kelihatan sensasinya;purbaya mulai melemah anggaran pendapatan dan belanja negara ikut menanggulangi whuus berarti hanya omon omon takut dengan omongan nya jkw dan bosnya mulai kelihatan sensasinya;purbaya mulai melemah anggaran pendapatan dan belanja negara ikut menanggulangi whuus berarti hanya omon omon takut dengan omongan nya jkw dan bosnya mulai kelihatan sensasinya;['purbaya', 'mulai', 'melemah', 'anggaran', 'pendapatan', 'dan', 'belanja', 'negara', 'ikut', 'menanggulangi', 'whuus', 'berarti', 'hanya', 'omon', 'omon', 'takut', 'dengan', 'omongan', 'nya', 'jkw', 'dan', 'bosnya', 'mulai', 'kelihatan', 'sensasinya'];Tidak Terdeteksi;Lainnya;Netral;Netral;Menolak
"kebijakan nya SDH ngga ada pro rakyat kebijakan pemerintahan sekarang.
Dulu teriak teriak no asing Aseng.
Hey antek antek asing...
Bulsittttr.
Jago gebrrakk2 meja doang.";kebijakan nya SDH ngga ada pro rakyat kebijakan pemerintahan sekarang Dulu teriak teriak no asing Aseng Hey antek antek asing Bulsittttr Jago gebrrakk2 meja doang;kebijakan nya sudah tidak ada pro rakyat kebijakan pemerintahan sekarang dulu teriak teriak no asing aseng hey antek antek asing bulsittttr jago gebrrakk2 meja doang;kebijakan nya sudah tidak ada pro rakyat kebijakan pemerintahan sekarang dulu teriak teriak no asing aseng hey antek antek asing bulsittttr jago gebrrakk2 meja doang;['kebijakan', 'nya', 'sudah', 'tidak', 'ada', 'pro', 'rakyat', 'kebijakan', 'pemerintahan', 'sekarang', 'dulu', 'teriak', 'teriak', 'no', 'asing', 'aseng', 'hey', 'antek', 'antek', 'asing', 'bulsittttr', 'jago', 'gebrrakk2', 'meja', 'doang'];Tidak Terdeteksi;Kebijakan;Diskusi;Diskusi;Menolak
Selama UU perampasan aset bagi koruptor belum disahkan maka korupsi akan merajalela termasuk Koperasi merah putih akan menjadi bancaan;Selama UU perampasan aset bagi koruptor belum disahkan maka korupsi akan merajalela termasuk Koperasi merah putih akan menjadi bancaan;selama uu perampasan aset bagi koruptor belum disahkan maka korupsi akan merajalela termasuk koperasi desa merah putih akan menjadi bancaan;selama uu perampasan aset bagi koruptor belum disahkan maka korupsi akan merajalela termasuk koperasi desa merah putih akan menjadi bancaan;['selama', 'uu', 'perampasan', 'aset', 'bagi', 'koruptor', 'belum', 'disahkan', 'maka', 'korupsi', 'akan', 'merajalela', 'termasuk', 'koperasi', 'desa', 'merah', 'putih', 'akan', 'menjadi', 'bancaan'];KDMP;Korupsi;Menolak;Menolak;Menolak
